,Unnamed: 0,device,event_id,channel,timestamp_tz,active_power,active_power_delta,apparent_power,coil_reversed,complete,current,energy,energy_delta,evt_type,firmware,hz,phase_shift,reactive_power,reactive_power_delta,timestamp,voltage,wifi_strength,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,harmonic_img_1,harmonic_img_2,harmonic_img_3,harmonic_img_4,harmonic_img_5,harmonic_img_6,harmonic_img_7,harmonic_img_8,harmonic_img_9,harmonic_real_1,harmonic_real_2,harmonic_real_3,harmonic_real_4,harmonic_real_5,harmonic_real_6,harmonic_real_7,harmonic_real_8,harmonic_real_9,hour
713,510,7,118768,1,2020-06-18 09:57:28.000000,107,102.0,646.0,,False,2.7039999999999997,1320151.0,1,1,89,50.0,79.8,605,612,2020-06-18 09:57:28.000000,239.035,61,1.3969999999999998,1.3840000000000001,1.4880000000000002,1.579,1.686,1.696,1.8330000000000002,1.838,1.983,1.9180000000000001,-3309,0,805,0,107,0,57,1,4,-841,-8,658,0,100,-3,14,0,-46,9
265,390,7,114294,1,2020-06-15 09:03:12.000000,4,-239.0,14.0,,True,,1320123.0,0,2,89,50.0,-55.1,-7,-749,2020-06-15 09:03:12.000000,241.643,54,3.861,3.531,3.634,3.595,3.534,3.658,3.3939999999999997,3.323,3.573,,36,8,0,0,0,0,0,0,0,-23,-11,-11,0,0,0,0,0,0,9
667,917,7,119175,1,2020-06-18 10:56:40.000000,17,-56.0,22.0,,True,0.092,1320716.0,0,2,89,50.0,15.8,5,-595,2020-06-18 10:56:40.000000,241.643,51,2.036,2.026,1.925,1.895,1.882,1.9180000000000001,1.9380000000000002,1.876,0.095,0.09,-13,8,0,0,0,0,0,0,0,-102,-8,-3,-1,0,0,0,0,0,10
719,584,7,118842,1,2020-06-18 10:06:55.000000,2069,-272.0,2069.0,,True,8.852,1320241.0,5,2,89,50.0,0.0,-1,-551,2020-06-18 10:06:55.000000,233.82,55,10.479000000000001,10.357000000000001,10.370999999999999,10.568,10.523,10.828,10.440999999999999,10.437000000000001,10.388,10.305,-212,6,-103,-1,6,0,110,0,11,-12472,-23,-1,-8,432,0,115,0,0,10
292,435,7,114339,1,2020-06-15 09:09:02.000000,20,-17.0,58.0,,False,0.245,1320131.0,0,2,89,50.0,80.1,123,-83,2020-06-15 09:09:02.000000,239.035,50,,0.188,0.18899999999999997,0.191,0.188,0.18899999999999997,0.191,0.18600000000000003,0.184,0.188,-214,14,1,-4,1,3,0,0,0,-141,-6,-16,-4,-9,-3,0,1,0,9
831,795,7,119053,1,2020-06-18 10:36:57.000000,4,-279.0,15.0,,True,0.062,1320688.0,0,2,89,50.0,-56.6,-7,-1029,2020-06-18 10:36:57.000000,239.90400000000002,50,0.069,0.061,0.07,0.059000000000000004,0.057,0.064,0.059000000000000004,0.064,0.062,0.059000000000000004,37,11,0,-3,0,0,0,0,0,-26,-9,-13,0,0,0,0,0,0,10
1001,493,7,114397,1,2020-06-15 09:21:35.000000,5,-63.0,15.0,,True,0.062,1320149.0,0,2,89,50.0,-51.3,-7,-393,2020-06-15 09:21:35.000000,244.25,53,1.511,1.4909999999999999,1.412,1.296,1.278,1.278,1.249,1.2930000000000001,1.273,1.296,34,9,0,0,0,0,0,0,0,-23,-8,-9,0,0,0,0,0,0,9
748,177,7,114081,1,2020-06-15 08:28:17.000000,25,-137.0,248.0,,False,1.026,1320073.0,0,2,89,50.0,60.1,44,-331,2020-06-15 08:28:17.114081,242.512,52,3.009,2.7880000000000003,2.818,2.032,0.183,0.163,0.141,0.127,0.133,0.115,33,8,0,0,0,0,0,0,0,-23,-9,-11,0,-1,-1,0,0,0,8
334,594,7,118852,1,2020-06-18 10:08:23.000000,2087,-158.0,2090.0,,True,8.875,,4,2,89,50.0,0.0,9,-448,2020-06-18 10:08:23.000000,235.558,55,8.877,8.877,8.873,8.877,8.878,8.877,8.878,8.875,8.875,8.875,-123,1,-103,-3,6,0,94,0,6,-12500,-26,-4,-9,422,0,122,0,0,10
88,81,7,113985,1,2020-06-15 08:15:46.000000,2335,219.0,2570.0,,False,10.833,1319660.0,1,1,89,50.0,13.0,547,495,2020-06-15 08:15:46.000000,237.297,50,10.185,9.943999999999999,9.631,9.744,9.98,10.338,10.759,10.812000000000001,10.959000000000001,10.482000000000001,-6073,6,1240,6,-41,1,179,-18,21,-14152,-72,1166,-11,242,-26,400,1,94,8
209,185,7,114089,1,2020-06-15 08:29:12.000000,4,-202.0,15.0,,True,0.062,1320075.0,0,2,89,50.0,-55.5,-7,-927,2020-06-15 08:29:12.000000,242.512,52,0.057,0.061,0.059000000000000004,0.067,0.064,0.059000000000000004,0.061,0.064,0.066,0.061,37,8,0,-1,0,0,0,0,0,-23,-9,-13,-1,-1,0,0,0,0,8
